build_type,test_type,time_type,benchmark_name,dataset_name,time
no_op,distrdf_py,getvalue_trigger,df102,dimuon_data,536.074642181397
no_op,distrdf_py,getvalue_trigger,df102,dimuon_data,530.192904233933
no_op,distrdf_py,getvalue_trigger,df102,dimuon_data,535.076864004135
no_op,distrdf_py,getvalue_trigger,df102,dimuon_data,541.455361127853
no_op,distrdf_py,getvalue_trigger,df102,dimuon_data,534.283288002014
no_op,distrdf_py,jit,df102,dimuon_data,0.863415
no_op,distrdf_py,jit,df102,dimuon_data,0.855516
no_op,distrdf_py,jit,df102,dimuon_data,0.856721
no_op,distrdf_py,jit,df102,dimuon_data,0.86192
no_op,distrdf_py,jit,df102,dimuon_data,0.85945
no_op,distrdf_py,event_loop,df102,dimuon_data,530.417
no_op,distrdf_py,event_loop,df102,dimuon_data,524.544
no_op,distrdf_py,event_loop,df102,dimuon_data,529.372
no_op,distrdf_py,event_loop,df102,dimuon_data,535.804
no_op,distrdf_py,event_loop,df102,dimuon_data,528.555
opt,distrdf_py,getvalue_trigger,df102,dimuon_data,325.58807015419
opt,distrdf_py,getvalue_trigger,df102,dimuon_data,321.197597980499
opt,distrdf_py,getvalue_trigger,df102,dimuon_data,322.531500816345
opt,distrdf_py,getvalue_trigger,df102,dimuon_data,326.973387956619
opt,distrdf_py,getvalue_trigger,df102,dimuon_data,317.835195064545
opt,distrdf_py,jit,df102,dimuon_data,1.531766
opt,distrdf_py,jit,df102,dimuon_data,1.538067
opt,distrdf_py,jit,df102,dimuon_data,1.541948
opt,distrdf_py,jit,df102,dimuon_data,1.601487
opt,distrdf_py,jit,df102,dimuon_data,1.605219
opt,distrdf_py,event_loop,df102,dimuon_data,318.763
opt,distrdf_py,event_loop,df102,dimuon_data,314.389
opt,distrdf_py,event_loop,df102,dimuon_data,315.712
opt,distrdf_py,event_loop,df102,dimuon_data,319.888
opt,distrdf_py,event_loop,df102,dimuon_data,310.793
opt,distrdf_cpp,getvalue_trigger,df102,dimuon_data,327.217252969742
opt,distrdf_cpp,getvalue_trigger,df102,dimuon_data,323.550754785538
opt,distrdf_cpp,getvalue_trigger,df102,dimuon_data,325.770651102066
opt,distrdf_cpp,getvalue_trigger,df102,dimuon_data,324.853679895401
opt,distrdf_cpp,getvalue_trigger,df102,dimuon_data,323.697700977325
opt,distrdf_cpp,jit,df102,dimuon_data,1.532252
opt,distrdf_cpp,jit,df102,dimuon_data,1.540465
opt,distrdf_cpp,jit,df102,dimuon_data,1.544477
opt,distrdf_cpp,jit,df102,dimuon_data,1.534544
opt,distrdf_cpp,jit,df102,dimuon_data,1.53658
opt,distrdf_cpp,event_loop,df102,dimuon_data,313.609
opt,distrdf_cpp,event_loop,df102,dimuon_data,309.887
opt,distrdf_cpp,event_loop,df102,dimuon_data,312.132
opt,distrdf_cpp,event_loop,df102,dimuon_data,311.245
opt,distrdf_cpp,event_loop,df102,dimuon_data,310.09
opt,distrdf_cpp,compile_macro,df102,dimuon_data,6.88767981529236
opt,distrdf_cpp,compile_macro,df102,dimuon_data,6.87139487266541
opt,distrdf_cpp,compile_macro,df102,dimuon_data,6.89493894577026
opt,distrdf_cpp,compile_macro,df102,dimuon_data,6.89407110214233
opt,distrdf_cpp,compile_macro,df102,dimuon_data,6.88668990135193
opt,cpp_lambdas,compilation,df102,dimuon_data,3.43086
opt,cpp_lambdas,compilation,df102,dimuon_data,3.41547
opt,cpp_lambdas,compilation,df102,dimuon_data,3.43236
opt,cpp_lambdas,compilation,df102,dimuon_data,3.41206
opt,cpp_lambdas,compilation,df102,dimuon_data,3.41589
opt,cpp_lambdas,getvalue_trigger,df102,dimuon_data,265.88
opt,cpp_lambdas,getvalue_trigger,df102,dimuon_data,271.21
opt,cpp_lambdas,getvalue_trigger,df102,dimuon_data,269.11
opt,cpp_lambdas,getvalue_trigger,df102,dimuon_data,267.32
opt,cpp_lambdas,getvalue_trigger,df102,dimuon_data,268.87
opt,cpp_lambdas,event_loop,df102,dimuon_data,265.879
opt,cpp_lambdas,event_loop,df102,dimuon_data,271.205
opt,cpp_lambdas,event_loop,df102,dimuon_data,269.11
opt,cpp_lambdas,event_loop,df102,dimuon_data,267.321
opt,cpp_lambdas,event_loop,df102,dimuon_data,268.873
